Objects,Cost,Iterations
2,502,51
5,559,68
10,526,54
2,461,56
5,570,53
10,613,48
2,609,58
5,563,42
10,541,45
2,600,63
5,557,50
10,570,51
2,626,52
5,516,46
10,548,40
2,754,69
5,516,51
10,639,50
2,506,72
5,483,45
10,555,66
2,599,65
5,620,44
10,554,58
2,508,68
5,491,50
10,531,50
2,488,51
5,621,60
10,541,41
2,500,69
5,515,50
10,596,54
2,609,60
5,542,54
10,647,58
2,759,53
5,691,44
10,765,42
2,558,59
5,510,46
10,513,52
2,800,64
5,578,59
10,587,55
2,657,57
5,502,55
10,577,51
2,564,53
5,581,56
10,607,44
2,478,65
5,549,54
10,621,43
2,533,65
5,598,52
10,572,53
2,592,68
5,523,51
10,545,60
2,574,61
5,555,62
10,642,53
2,760,82
5,667,35
10,536,53
2,476,58
5,624,59
10,569,50
2,582,77
5,486,46
10,574,53
2,450,62
5,560,31
10,529,45
2,572,53
5,540,57
10,534,46
2,655,65
5,670,54
10,569,52
2,487,52
5,565,62
10,686,48
2,500,67
5,590,49
10,621,57
2,445,59
5,516,49
10,587,57
2,576,60
5,565,49
10,553,43
2,506,55
5,540,45
10,502,59
2,634,54
5,604,38
10,573,50
2,536,53
5,562,57
10,545,55
2,574,56
5,622,57
10,521,43
2,465,53
5,648,42
10,599,46
2,573,51
5,521,43
10,661,50
2,569,54
5,546,54
10,562,47
2,510,65
5,494,47
10,520,53
2,500,67
5,540,50
10,582,45
2,474,70
5,614,54
10,503,51
2,711,58
5,622,61
10,604,43
2,465,60
5,558,46
10,552,41
2,449,65
5,660,60
10,591,44
2,492,49
5,628,54
10,533,50
2,473,65
5,598,55
10,558,45
2,489,48
5,627,43
10,512,54
2,679,61
5,566,45
10,643,47
2,558,65
5,584,60
10,527,42
2,670,51
5,623,54
10,550,45
